LINE,NAME,FOLDER,PREFIX,MAX_X_AXIS
LINE_M1,阿里山線(嘉義-阿里山),alishan_m1,ALISHANM1_,1500
LINE_B2,沼平/祝山線(阿里山-祝山),alishan_b2,ALISHANB2_,650
